element,material,synthesis_type,size_nm,precursor_conc_mM,capping_agent_pct,pH,temp_C,stirring_time_min,agitation_rpm,surface_area_m2_g,OH_stretch_present,OH_stretch_count,NH_stretch_present,NH_stretch_count,CH_stretch_present,CH_stretch_count,C=O_stretch_present,C=O_stretch_count,C=C_aromatic_present,C=C_aromatic_count,C-O_stretch_present,C-O_stretch_count,Metal_O_bond_present,Metal_O_bond_count,Fingerprint_region_present,Fingerprint_region_count,num_peaks_total,peak_min,peak_max,peak_range,mean_wavenumber,peaks_per_1000,peak_density,max_peak_intensity,catalytic_activity
Au,Metal,Co-Precipitation,54.096873403753555,98.36157946792223,0.12112931206399669,6.96486798950194,172.49583207356488,87.38845589788566,402.909650371343,11.579717789767756,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,7,400,3600,3200,2000,1.75,0.0021875,7,17.840082763104256
Fe,Carbide,Hydrothermal,20.304519101912327,103.15095241049417,4.593778384341747,7.646462605011821,170.68212624846308,270.19922607914555,163.26397886645645,28.332962162178656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,19.55461270047489
Au,Carbide,CVD,43.70520984039846,103.09340044514019,1.9350713298306226,5.623970627276616,195.88094793390124,188.52666215811837,231.25272569124874,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,23.962651155359612
Au,Metal,CVD,55.8499782041584,5.020770344405356,4.942783024217825,10.550233504967686,219.98965876896102,189.21243794365452,674.1640403923241,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,21.660597566665125
Co,Metal,CVD,68.4850866679438,134.96919299841016,3.807247104037064,7.70056932272988,83.93030760362987,227.41197030436544,734.5275003199467,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Cu,Metal,Sol-Gel,61.55549295952887,51.37787795094732,0.4025750489965524,7.972823445504851,163.76849332749342,290.21116048984044,997.4278731704073,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,7.437331890511208
Ag,Metal,Co-Precipitation,40.60982723388987,111.88069860975975,3.3009413892128796,10.92607862442059,156.39436679930694,82.33336385685243,166.23670861051028,15.436965989069275,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,16.95512272604134
Co,Metal,CVD,28.00068448559246,114.21122915794766,1.3541958241897756,11.284655410624886,55.34113333712707,87.10570589291882,491.76520424224134,14.858588235437658,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Co,Carbide,Sol-Gel,18.48662263396094,97.93269184302369,1.2185932279069007,10.41774416999868,142.0713191299102,70.06327057447704,320.1747357192042,21.573132755286842,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,20.728113698895964
Au,Carbide,Hydrothermal,69.9968478546821,59.83511194849953,1.2828133495160643,3.5883337167957756,40.648865816604705,339.1536614907984,493.6652617940017,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,0.0
Ni,Composite,CVD,65.24907008262352,91.64924830566231,4.5803752434640845,6.991581916021031,66.61590716552642,220.5057738000928,489.7373328755677,15.522984863170425,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Cu,Composite,CVD,69.36250164426505,6.989604997423608,2.4999008803568747,6.089978452371829,230.4166934315906,60.57133957486414,489.70774782909746,14.700250227160632,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,12.28182308774645
Pd,Metal_Oxide,Sol-Gel,38.5076903746739,114.52247303599803,3.3473544940580293,4.9216330319620685,51.82971584702729,102.81303509753728,440.59677718922535,24.935764932574877,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,12,400,3600,3200,2000,3.0,0.00375,12,32.5726102992751
Co,Composite,Co-Precipitation,27.715966611933013,15.838708600922498,1.4047391289985034,11.180584882612074,155.25616746552876,269.4447164712391,940.3759074413553,16.187747702826048,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,13.899496200845253
Ag,Composite,Hydrothermal,76.45269021073068,60.11588794414065,2.614772275925591,11.010620624830535,97.78315659844156,39.56725400978972,858.6769156513907,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,0.0
Ni,Metal,CVD,77.81744471542274,16.439199362080018,1.750500691055949,7.1876809495492555,149.94549041348782,269.46633413570123,475.6161514766127,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,12,400,3600,3200,2000,3.0,0.00375,12,0.0
Ni,Metal,Co-Precipitation,46.65040464875038,125.72409242704508,1.6056952019820037,4.211047656055771,77.86904705179069,330.7832580035999,261.13691266184463,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,0.0
Pd,Composite,Hydrothermal,61.966600307197766,82.99505662195793,1.234844239851061,3.120290582986087,124.98537730247354,48.605982704557775,670.1084040750916,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,19.2515830902579
Co,Metal_Oxide,Green_Synthesis,38.60492709471064,103.95231290522159,2.0450344924670025,6.946203725083369,220.15002245835865,91.51874710032436,1110.7323823353368,11.22545492379427,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,27.241772766532357
Ag,Metal,Green_Synthesis,70.79082561174106,102.70474330654933,3.3001505531501145,3.359596337161888,109.64882000935518,30.784938532478304,235.91527494589238,13.872482600302149,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Cu,Composite,Hydrothermal,83.90071647149138,126.39932851711717,1.110218880335545,8.48600347727784,104.43196105021052,65.98006981484977,928.3328327448875,11.283578188975808,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,4.880443928196682
Pt,Composite,Sol-Gel,69.44686117889364,20.752841098425066,4.827219934386751,8.475679837920621,125.37656783567469,233.6072018218401,759.3169683475306,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,37.64376156407752
Ag,Carbide,Hydrothermal,52.23309743101938,99.29949292032774,0.6230583823183333,11.090455031257035,47.61088995497093,44.78987279191476,747.4491375487003,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,0.0
Pd,Metal_Oxide,Hydrothermal,46.94848003025229,86.69497410614495,2.401036038607182,4.710442154604209,112.15308053231236,170.52557491048736,1128.1228903500246,10.0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,40.14170979350056
Ni,Carbide,Sol-Gel,64.94732579562293,5.603671263125992,0.42514108177674703,6.342548181721896,26.552556391337255,196.12258296154988,1151.5346460275155,12.01198708319967,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,12,400,3600,3200,2000,3.0,0.00375,12,0.0
Cu,Metal_Oxide,Sol-Gel,68.62146737693037,31.012013414597583,0.1133266053450499,10.735908499058509,138.26435765851414,329.18760242993915,368.2237127413807,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,14,400,3600,3200,2000,3.5,0.004375,14,5.353578476326113
Ag,Metal,Co-Precipitation,56.755485465404824,40.8681596653549,4.613386598491817,7.268668522411035,215.7867428090716,186.5158173195604,989.3247359946047,10.129423373890125,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,15.74890106723992
Pt,Metal_Oxide,Co-Precipitation,63.244342960524705,11.810899938945758,4.051923969753171,3.537509600747498,149.21644838821717,77.0400213177968,782.8791509688587,11.252059423134554,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,14,400,3600,3200,2000,3.5,0.004375,14,35.148932926078665
Pt,Composite,Sol-Gel,11.46569088446416,53.85325107892142,3.4707768656277915,3.997055204359757,161.73816509635438,125.46643082822848,549.730149082674,47.317071416342486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,70.72993835443215
Au,Composite,Green_Synthesis,95.27302058194802,5.0531737986058785,4.325954065749723,10.321091144206061,31.876758533447436,251.82447066722176,832.1834408101246,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Au,Metal_Oxide,Green_Synthesis,79.49576024573933,83.4243403464017,4.014242114848643,9.693276870256618,218.3908705261169,66.99821737351222,1151.563453905723,10.0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,8,400,3600,3200,2000,2.0,0.0025,8,14.797152089951553
Fe,Metal_Oxide,Hydrothermal,38.64493123126481,32.5136431263883,3.236188604931961,10.882933654501127,111.62579938005817,106.4751133306849,668.5628705101399,13.434894094847419,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Pd,Metal_Oxide,CVD,57.155635873455736,43.76346272087059,4.236711628841846,4.069750493182294,244.341853136509,358.60644995340596,1134.0878202587326,10.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,14,400,3600,3200,2000,3.5,0.004375,14,38.66295197089245
Co,Carbide,Hydrothermal,6.637803953369293,136.66027229952132,1.9540027673005262,9.843750694168747,52.104708144308496,31.82640840129631,807.1759592482625,82.23399260221913,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,12,400,3600,3200,2000,3.0,0.00375,12,44.37794976099015
Ag,Metal_Oxide,Hydrothermal,6.040325771907918,75.91971051940529,2.7637591661756304,8.895939284623703,237.55117407667848,80.22049335486857,631.2001648849304,83.76597710764065,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,73.82815586519224
Ag,Metal,CVD,26.578236840972345,41.083075755417966,3.8815532648932285,5.090639170269385,167.71545392567268,308.4163276158859,808.5874842325667,11.070622370576228,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,19.940260041556535
Co,Carbide,Sol-Gel,69.59076095173309,90.17080197896188,0.4239900812317332,11.7651394700005,36.77656756538367,63.45606766358156,762.7951495666695,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,0.0
Fe,Carbide,Green_Synthesis,85.51047928440114,31.049043795256846,4.2932273358124196,8.133193372361081,243.63229251326453,41.101531842906,563.8670750296678,10.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,13.984561511993942
Ni,Metal_Oxide,Hydrothermal,56.80021623802514,12.084957178863545,0.7841522784830252,11.161901778574219,28.12144033268443,70.03306027140862,718.7063778037841,21.866865679077268,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Ni,Metal,CVD,54.14900847907054,4.115046805640032,4.322706264487696,10.731838207862879,189.40753795547303,258.88707227028135,873.5735402571861,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,1.815752353971626
Fe,Carbide,Co-Precipitation,41.426334311563664,142.77782776106218,1.5566643581646349,5.998129144703505,225.14423838732128,357.7264755015184,1022.7529216508577,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,9.753101732668146
Ni,Composite,Hydrothermal,17.836599683886075,108.96701279732433,1.6339142298460922,7.823611757881319,64.5575997017854,224.90973671223034,434.7638094049905,28.931898265462458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,5.9628233950216405
Au,Carbide,Green_Synthesis,13.598701930005577,120.19227409556497,0.36974344934850634,6.882314694642045,102.2553679070069,71.02436878946565,116.11271970472482,47.473482946938965,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,14,400,3600,3200,2000,3.5,0.004375,14,41.10310333953481
Ag,Metal_Oxide,Sol-Gel,76.54661659965467,147.15674149864597,4.4294981194787475,9.38169813234068,151.27660162124354,90.646994417207,706.3396920861205,10.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,10,400,3600,3200,2000,2.5,0.003125,10,8.873083532293732
Fe,Metal,Hydrothermal,92.8953480270644,139.81267680860248,0.8725520119543478,8.29237804089085,177.9570893151167,207.4350628226935,638.2125861416995,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,11,400,3600,3200,2000,2.75,0.0034375,11,0.0
Ag,Metal_Oxide,Hydrothermal,46.91175520585477,110.80006659698988,3.1502495101850765,10.063681797335171,221.17207025378372,266.16720177125353,159.6186835230446,11.557999812145964,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,24.377520787277277
Co,Composite,CVD,66.62567455413254,104.40407340307858,3.2198379962676116,3.1057703363818607,196.24085594761883,248.76102031544949,795.7570510190907,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Pt,Composite,Co-Precipitation,91.61684978633224,51.19064954337112,1.4057575170732295,9.190139352731027,106.74950735926099,219.65974444706393,1135.540393077395,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,24.720355017186577
Au,Composite,Co-Precipitation,10.831136027546165,16.498570517470217,4.928304787284022,5.871586396976895,209.8869576520004,355.4690260226689,542.4549646012119,50.97522979263538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,48.7920015717002
Cu,Metal_Oxide,Sol-Gel,77.50718240566492,86.48465970676882,0.3208310905554246,5.017999259004762,242.36726224457797,95.35120356154066,1083.7962081496476,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,10,400,3600,3200,2000,2.5,0.003125,10,11.943655440499798
Au,Carbide,Green_Synthesis,62.448054668806364,86.86174096820024,3.0393600549575917,10.21117229722805,76.07189077936812,87.05831705292601,994.4114940110304,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,9.878551450694248
Fe,Metal_Oxide,Sol-Gel,60.666443525326414,142.88335552694585,2.3977196372859453,3.8029909006936684,41.671508527246615,313.4901994380701,277.88791666165343,13.242745541855388,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Cu,Metal,Hydrothermal,30.66896199119384,66.9430501925947,1.2274205357363732,5.056140405892271,120.98943968692659,125.97117069161237,966.0078182471551,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,10.181953404938506
Pt,Carbide,Hydrothermal,69.02154876821234,103.93033602160418,0.8177585566147322,4.833609069898003,223.31434839044894,139.73370446404425,668.3766896933231,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,13,400,3600,3200,2000,3.25,0.0040625,13,42.78596933880201
Fe,Composite,Co-Precipitation,79.8901799724361,86.67062348211155,3.685421790794932,6.778429005537317,58.81558859781882,211.0604861981296,1110.4913724744515,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,0.0
Pd,Metal_Oxide,Green_Synthesis,13.060100164482321,27.33727413605634,4.581574372405932,5.901031061015349,224.30459227345227,155.82068376445426,308.3688590053563,35.790306098337595,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,64.69277469263065
Ag,Composite,CVD,54.285100236136415,89.21758185548259,0.5377313097736119,9.484214853987032,248.24793034063748,124.92134250715698,237.55109105623677,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,5.311091650575877
Pt,Composite,Green_Synthesis,11.923987736766147,81.4773896950602,0.9699010605300273,9.29432892541329,37.150501948710186,332.66783621163177,365.4084395072112,40.263001994791026,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,10,400,3600,3200,2000,2.5,0.003125,10,50.50380923372815
Ag,Metal,Hydrothermal,87.51225389116917,74.59199309249398,4.931348736477827,5.929238019954351,136.4326841174839,72.66049027966133,165.5893814920313,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,1.2307964428421236
Ni,Carbide,CVD,51.74839882032204,77.50001711362275,0.07511337118937311,6.932826985312158,98.99923631048131,163.4156285236416,452.0881087150247,11.066293585132385,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,0.0
Pd,Metal,Green_Synthesis,81.18063754755423,25.434207821871702,2.5412598482646165,4.871173657617957,113.57796735954497,30.97912937446202,411.309787814108,10.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,23.74073809480161
Pd,Metal,Green_Synthesis,38.072392491289,70.05818195336951,2.5805642504090716,9.037514104466435,126.61781927791942,296.4597077886844,557.8366092715665,15.083344066966085,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,33.66976624952297
Pt,Metal,CVD,14.25766622799989,91.24233750141792,1.3158076257288691,6.56600466119318,191.4333902015177,85.57821921166322,609.274923207657,32.5381335122372,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,57.736656252689684
Pd,Composite,Hydrothermal,6.066931829799724,73.92793060414537,3.315144402218304,4.195434939979938,158.04243321351467,285.0866989492419,259.1926033666195,86.20489791869487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,400,3600,3200,2000,2.0,0.0025,8,81.32003181744905
Cu,Metal,Green_Synthesis,29.5879428356928,73.81424307379595,4.7247045321350685,4.145389427203601,241.27024484877558,79.03902777778752,781.3113215011374,16.587105479870925,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,7,400,3600,3200,2000,1.75,0.0021875,7,17.183498357017577
Pd,Metal,CVD,25.9349026356797,12.550138759154882,2.251069654782886,5.90088610579058,99.87203482889517,167.5238196808091,345.924138690994,16.31946565085621,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,38.636854350683215
Ag,Carbide,Hydrothermal,56.91449345395626,29.42534865049123,3.7470975270059528,9.725925257725763,146.83841855861712,270.3010297059622,234.12153584087193,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,9.442290177131948
Ag,Carbide,CVD,4.130406130243321,48.8249312235496,3.2303512963572913,3.229539025183503,207.99891946008185,119.36690504768919,879.6922019428342,122.53583097888571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,400,3600,3200,2000,1.25,0.0015625,5,80.60743784737505
Fe,Metal,CVD,53.01591334131899,63.48270209496008,2.3647093177085745,5.319972238645939,108.93139382357803,133.5926514510994,125.00878983113542,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,0.0
Ag,Carbide,Green_Synthesis,40.39363071717631,89.49667913493204,0.24906149901602337,4.462375429998815,129.69232013745466,250.21642327630877,505.2025347087408,19.691626002741806,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,18.767840253692476
Fe,Carbide,Hydrothermal,58.55798245161533,129.63842057393603,3.7087490247863766,11.608300391750534,179.119274354176,91.94132459864684,258.8436073752205,16.231162545130886,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,5,400,3600,3200,2000,1.25,0.0015625,5,0.0
Ag,Metal,Green_Synthesis,70.83691775873574,24.715545975209437,1.8162572356073148,9.347534435739238,218.66744918596893,344.0888462695999,1071.0719721943606,10.0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,2,8,400,3600,3200,2000,2.0,0.0025,8,13.42765227371743
Cu,Composite,Sol-Gel,64.14101061782422,3.2481165013935454,1.1224734420121045,5.099094157070516,118.52833084536147,92.29993578294179,1006.9042358192705,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Co,Metal,Sol-Gel,98.4951481985899,67.93633248561144,4.7413432489408525,4.867145268925752,144.6888562330165,277.4985019289927,166.5793725954623,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,13,400,3600,3200,2000,3.25,0.0040625,13,0.0
Fe,Carbide,Hydrothermal,15.550003699933363,65.38333171433258,3.86751384773581,10.72227490848549,244.40251419043878,294.85762686030824,705.4961767142097,29.493666341539544,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,14,400,3600,3200,2000,3.5,0.004375,14,20.25247091898803
Au,Composite,CVD,44.11422687511829,83.23328155578068,4.811343408384682,4.712040267747717,34.5555614380759,153.54224507045427,424.8910943960623,10.0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,6,400,3600,3200,2000,1.5,0.001875,6,6.573950763712158
Ni,Metal_Oxide,Green_Synthesis,43.63341219104449,125.15004393435358,1.2810846608279503,11.973532801775043,125.85146124839753,81.55891642144618,311.80009219616716,17.43261612584793,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,14,400,3600,3200,2000,3.5,0.004375,14,4.93556177361506
Pt,Composite,Green_Synthesis,42.87121396288622,120.55172209638921,4.178966637889436,5.540728080102597,168.09591650407012,84.74816024048181,442.69249973281796,13.39953899562578,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,9,400,3600,3200,2000,2.25,0.0028125,9,42.61053352457485
Ag,Carbide,Hydrothermal,67.0522424201815,15.906449380071669,3.038607021309846,3.7589944338258148,26.89617795147816,355.19862012297784,997.4760952068856,11.696653242213495,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,0.0
Pd,Composite,Hydrothermal,50.0031499335788,140.16530963482438,4.907518446516098,9.218477046151722,159.27696285244326,269.385279059008,163.64090796566452,15.3160506271578,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,6,400,3600,3200,2000,1.5,0.001875,6,38.75421543920217
Co,Metal,Sol-Gel,52.70839086167038,17.451744806492258,4.731584728068286,8.486785133257563,37.64498979917702,178.5156541081826,813.0567224863789,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,400,3600,3200,2000,2.25,0.0028125,9,0.0
Ag,Metal_Oxide,Co-Precipitation,44.37088723038294,95.55100577160118,4.864840224713512,11.99839948825311,217.95063924584124,114.92543042452158,1104.7071598554346,14.6898310428458,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,1,15,400,3600,3200,2000,3.75,0.0046875,15,15.359831574458564
Pd,Metal_Oxide,Hydrothermal,99.18654717981913,101.18853774574077,4.75883809169971,10.218771699347776,206.59437148942732,36.24034050575043,592.8619821470425,10.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,12,400,3600,3200,2000,3.0,0.00375,12,32.44813743737856
Ni,Metal_Oxide,Co-Precipitation,92.90101218426614,102.30174559624014,0.038304334452194944,6.859528798199152,32.25740577968416,251.25307274188833,1091.665323207219,10.0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,2,11,400,3600,3200,2000,2.75,0.0034375,11,0.0
